Year,Events,Cost of Disaster (billions),Number of Deaths,Drought,Severe Storm,Flooding,Tropical Cyclone,Wildfire,Winter Storm
2023,28,93.7,492,1,19,4,2,1,1
2022,18,180.5,474,1,13,3,1,0,0
2021,20,141,724,2,10,3,5,0,0
2020,22,95,262,0,17,1,4,0,0
2019,16,45.1,76,0,11,3,1,1,0
2018,14,47.3,47,1,8,2,3,0,0
2017,26,81.6,314,0,23,2,0,0,1
2016,15,35.5,102,0,12,3,0,0,0
2015,11,22.4,158,1,7,1,0,1,1
2014,10,17.3,53,1,6,1,1,0,1
2013,10,22.7,114,1,7,1,0,0,1
2012,11,115.8,377,1,6,2,2,0,0
2011,18,67.9,765,1,14,1,2,0,0
2010,7,11.2,51,0,4,2,0,0,1
